id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
1,1-0001,G10001,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
2,1-0002,G10002,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
3,1-0003-A,G10003A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,sadaf,Not Available,2023-05-17,2024-04-22
4,1-0003-B,G10003B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
5,1-0003,G10003,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-02,2024-04-22
6,1-0004,G10004,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
7,1-0005,G10005,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
8,1-0006,G10006,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
9,1-0007,G10007,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
10,1-0008,G10008,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
11,1-0009-A,G10009A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-03-24,2024-04-22
12,1-0009-B,G10009B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-03-24,2024-04-22
13,1-0009-C,G10009C,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
14,1-0009,G10009,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-03,2024-04-22
15,1-0010,G10010,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-16,2024-04-22
16,1-0011,G10011,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
17,1-0012,G10012,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
18,1-0013,G10013,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
19,1-0014,G10014,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-16,2024-04-22
20,1-0015,G10015,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
21,1-0016,G10016,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
22,1-0017,G10017,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
23,1-0018-A,G10018A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-18,2024-04-22
24,1-0018-B,G10018B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-16,2024-04-22
25,1-0018,G10018,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-03,2024-04-22
26,1-0019,G10019,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
27,1-0020,G10020,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
28,1-0021-A,G10021A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-16,2024-04-22
