Model,First date
1-0000,05/09/2020
1-0000-T,OLD
1-0002,OLD
1-0003-A,OLD
1-0003-B,OLD
1-0006,OLD
10-0079,OLD
10-0082,OLD
10-0096,OLD
1-0009-A,OLD
1-0009-B,OLD
1-0010,OLD
10-0103-T,OLD
1-0012,OLD
1-0013,OLD
1-0014,OLD
1-0017,OLD
1-0018-A,OLD
1-0018-B,OLD
1-0020,OLD
1-0021-A,OLD
1-0022,OLD
1-0023-A,OLD
1-0023-B,OLD
1-0024,OLD
1-0024-T,05/10/2021
1-0025,OLD
1-0026,OLD
1-0027,OLD
1-0028,OLD
1-0032,OLD
1-0038,OLD
1-0039,OLD
1-0040,OLD
1-0041,OLD
1-0042,OLD
1-0042-T,03/11/2021
1-0044,OLD
1-0045,OLD
1-0046-A,OLD
1-0046-B,OLD
1-0047,OLD
1-0050,OLD
1-0055,OLD
1-0056,OLD
1-0057,OLD
1-0060,OLD
1-0061,OLD
1-0062,OLD
1-0065-A,OLD
1-0065-B,OLD
1-0066-A,OLD
1-0066-B,OLD
1-0066-C,OLD
1-0067,OLD
1-0071,16/03/2021
1-0071-T,01/02/2022
1-0073,OLD
1-0074,OLD
1-0075,OLD
1-0077-A,OLD
1-0077-B,OLD
1-0078-A,15/10/2020
1-0078-B,OLD
1-0079-A,OLD
1-0079-B,OLD
1-0086,OLD
1-0088,OLD
1-0089,OLD
1-0091,OLD
1-0092,OLD
1-0093,11/07/2020
10-0964,OLD
10-0973,OLD
10-0975,OLD
10-0976,OLD
10-0977,29/07/2020
10-0981,OLD
10-0983,OLD
10-0985,OLD
10-0986,OLD
1-0098-T,28/07/2020
10-0990,OLD
10-0991,OLD
10-0993,OLD
10-0994,OLD
10-0995,OLD
10-0996,OLD
1-0100,OLD
10-1007,OLD
10-1017,OLD
10-1020,OLD
10-1028,OLD
10-1033,OLD
1-0103-T,OLD
1-0106-T,OLD
1-0114-T,OLD
1-0115-T,OLD
1-0116,OLD
1-0116-T,OLD
1-0118-t,OLD
1-0119-t,OLD
10-1204,OLD
1-0120-T,OLD
1-0121-T,OLD
1-0122-T,OLD
1-0123,OLD
1-0124-T,OLD
1-0125-T,OLD
1-0126-T,OLD
1-0127,OLD
1-0128-T,OLD
1-0129-T,OLD
1-0130,OLD
1-0130-T,OLD
1-0131-T,21/07/2020
10-1325,OLD
1-0132-T,21/07/2020
1-0133,OLD
1-0133-T,OLD
1-0134-T,18/07/2020
1-0135-T,OLD
1-0136,OLD
1-0136-T,OLD
10-1388,OLD
1-0138-T,OLD
1-0139,OLD
1-0139-T,20/08/2020
1-0140-T,20/08/2020
1-0141-T,24/08/2020
10-1425,OLD
1-0142-T,25/08/2020
1-0143,OLD
10-1438,OLD
1-0143-T,07/09/2020
1-0144,OLD
1-0144-T,08/09/2020
1-0145,OLD
1-0146-A,OLD
1-0146-B,OLD
1-0146-C,OLD
1-0146-T,19/09/2020
1-0147-T,22/09/2020
1-0148-T,28/09/2020
10-1501,OLD
1-0150-T,05/10/2020
1-0151,OLD
1-0151-T,09/10/2020
1-0152-T,09/10/2020
1-0153-T,14/10/2020
1-0154-T,12/10/2020
1-0155,OLD
1-0155-T,27/10/2020
1-0156-T,27/10/2020
1-0157-T,29/10/2020
1-0158-A,OLD
1-0158-B,15/07/2020
1-0159,OLD
1-0159-T,03/11/2020
1-0160-T,03/11/2020
1-0161-T,03/11/2020
1-0162-T,03/11/2020
1-0163-T,05/11/2020
1-0165-T,09/11/2020
1-0166,OLD
1-0166-T,13/11/2020
1-0167-T,22/11/2020
1-0168-T,22/11/2020
1-0169-T,25/11/2020
1-0170,OLD
1-0170-T,28/11/2020
1-0171-T,02/12/2020
1-0172-T,15/12/2020
1-0173-T,22/12/2020
1-0174-T,25/12/2020
1-0176-T,05/01/2021
1-0177-T,05/01/2021
1-0178-T,09/01/2021
10-1793,Market
1-0179-T,09/01/2021
1-0180-T,16/01/2021
1-0181-T,02/02/2021
1-0182-T,05/02/2021
1-0183,OLD
10-1839,Turkish Imseeh
1-0183-T,17/02/2021
1-0184,OLD
1-0184-T,18/02/2021
1-0185-T,19/02/2021
1-0186-B,OLD
1-0186-T,23/02/2021
