model,semi
1-0003-A,sadaf
1-0058,PRL
1-0059,PRL
1-0060,PRL
1-0061,PRL
1-0062,PRL
1-0063,PRL
1-0064,PRL
1-0072,PRL
1-0168,PRL
1-0198,Semi
1-0200,Semi
1-0201,Semi
1-0202,Semi
1-0204,Semi
1-0253,Semi
1-0359,Semi
1-0367,PRL
1-0400,Ein
1-0454,Ein
1-0480,Semi
1-0501,PRL
1-0502,PRL
1-0503,PRL
1-0504,PRL
1-0505,PRL
1-0506,PRL
1-0515,Sadaf
1-0527,PRL
1-0528,PRL
1-0529,PRL
1-0530,PRL
1-0531,PRL
1-0532,PRL
1-0533,PRL
1-0548,PRL
1-0549,PRL
1-0550,PRL
1-0551,PRL
1-0552,PRL
1-0572,Semi
1-0596,PRL
1-0597,PRL
1-0600,Semi
1-0625,PRL
1-0626,sadaf
1-0682,Semi
1-0706,Semi
1-0707,PRL
1-0708,PRL
1-0710-B,Onyx
1-0748-A,Onyx
1-0756,Semi
1-0861,Semi
1-0862,Semi
1-0885,PRL
1-0886,PRL
1-0893,PRL
1-0894,PRL
1-0937,Semi
1-0956,PRL
1-1013,Semi
1-1031,Semi
1-1041,Semi
1-1042,Semi
1-1043,Faroz
1-1044,Semi
1-1046,Semi
1-1048,Semi
1-1049,Semi
1-1051,Semi
1-1054,Semi
1-1056-A,Semi
1-1056-B,Semi
1-1061,Semi
1-1063,Semi
1-1133,Semi
1-1136,Semi
1-1142,Semi
1-1161,Semi
1-1170,Semi
1-1175-A,Semi
1-1175-B,Semi
1-1201,Semi
1-1241,PRL
2-0032,Sadaf
2-0098,PRL
2-0099,PRL
2-0111,PRL
2-0124,PRL
2-0125,PRL
2-0126,PRL
2-0127,PRL
2-0128,PRL
2-0129,PRL
2-0130,PRL
2-0131,PRL
2-0206,PRL
2-0209,PRL
2-0210,PRL
2-0211,PRL
2-0212,PRL
2-0216,PRL
2-0217,PRL
2-0220,PRL
2-0221,PRL
2-0223,PRL
2-0224,PRL
2-0225,PRL
2-0226,PRL
2-0227,PRL
2-0233,PRL
2-0235,PRL
2-0236,PRL
2-0237,PRL
2-0238,PRL
2-0240,PRL
2-0241,PRL
2-0242,PRL
2-0245,PRL
2-0246,PRL
2-0247,PRL
2-0255,PRL
2-0256,PRL
2-0258,PRL
2-0310,PRL
2-0313,PRL
2-0315,PRL
2-0323,PRL
2-0341,PRL
2-0342,PRL
2-0343,PRL
2-0344,PRL
2-0345,PRL
2-0346,PRL
2-0347,PRL
2-0349,PRL
2-0353,PRL
2-0356,PRL
2-0364,PRL
2-0383,PRL
2-0399,PRL
2-0402,PRL
2-0439,PRL
2-0445,PRL
2-0450,Sadaf
2-0454,Sadaf
2-0457,PRL
2-0475,PRL
2-0505,Semi
2-0506,Semi
2-0518,Semi
2-0519,Semi
2-0569,PRL
2-0570,PRL
2-0571,PRL
2-0630,PRL
2-0631,PRL
2-0645,Ein
2-0655-A,Semi
2-0669,PRL
2-0787,PRL
2-0802,Onyx
2-0803,Onyx
2-0848,PRL
2-0854,PRL
2-0907-A,PRL
2-0907-B,PRL
2-0920,Semi
2-0959,PRL
2-1066,PRL
2-1071,Ein
2-1084,PRL
2-1085,PRL
2-1093,PRL
2-1176,PRL
2-1177,PRL
2-1178,PRL
2-1278,Faroz
2-1288,PRL
2-1296,Semi
2-1300,Semi
2-1308-C,Semi
2-1316,Malachite
2-1321,Malachite
2-1366-C,Semi
2-1373-A,Malachite
2-1388,Faroz
2-1401,Onyx
2-1408,Semi
2-1409,Semi
2-1410,Semi
2-1411,Semi
2-1424,Semi
2-1509-C,Semi
2-1543,Faroz
2-1545,Semi
2-1546,Semi
2-1552,Malachite
2-1559-A,Sadaf
2-1559-B,Sadaf & Malachite
2-1559-C,Malachite
2-1576,Semi
2-1584,Semi
2-1585-A,Semi
2-1585-B,Semi
2-1586-A,Semi
2-1586-B,Semi
2-1591,Semi
2-1592,Semi
2-1596,Semi
2-1597,Semi
2-1598,Semi
2-1599,Semi
2-1600,Semi
2-1601,Semi
2-1602,Ein
2-1604,Semi
2-1606,Semi
2-1608-A,Semi
2-1608-B,Semi
2-1641,Semi
2-1656,Semi
2-1657,Semi
2-1661-A,Sadaf
2-1667,Malachite
2-1688,Semi
2-1697,Semi
2-1701,Semi
2-1708,Semi
2-1737,Semi
2-1744-B,Semi
2-1756,Semi
2-1759,Semi
2-1768,Semi
2-1775,Semi
2-1785,Semi
2-1786,Semi
2-1789,Semi
2-1790,Semi
2-1791-A,Semi
2-1791-B,Semi
2-1795,Semi
2-1796,Semi
2-1797,Semi
2-1859,Market stones 
